term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,cap,act,rem
Spring2016,39123,ME 0310L,A,1,Product Manufacturing Lab,"[{'days': 'F', 'times': '0200pm-0400pm', 'dates': '01/19-05/13', 'location': 'BNW 128'}, {'days': 'F', 'times': '0200pm-0400pm', 'dates': '01/19-05/13', 'location': 'BNW 136'}]","['F 0200pm-0400pm 01/19-05/13 BNW 128', 'F 0200pm-0400pm 01/19-05/13 BNW 136']",Sriharsha   Srinivas Sundarram,5,5,0
Spring2016,38016,ME 0318,A,3,Finite Element Analysis,"[{'days': 'W', 'times': '0630pm-0900pm', 'dates': '01/20-05/03', 'location': 'BNW 166'}]",['W 0630pm-0900pm 01/20-05/03 BNW 166'],George V.  Bauer,10,12,-2
Spring2016,38925,ME 0318,B,3,Finite Element Analysis,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '01/19-05/03', 'location': 'BNW 166'}]",['MR 0930am-1045am 01/19-05/03 BNW 166'],Sriharsha   Srinivas Sundarram,10,13,-3
Spring2016,39124,ME 0324,A,3,Micro and Nano Manufacturing,"[{'days': 'R', 'times': '0630pm-0900pm', 'dates': '01/19-05/03', 'location': 'BNW GR22'}]",['R 0630pm-0900pm 01/19-05/03 BNW GR22'],Sriharsha   Srinivas Sundarram,5,5,0
Spring2016,38926,ME 0330,A,3,Mechanics of Composite Materials,"[{'days': 'M', 'times': '0630pm-0900pm', 'dates': '01/19-05/03', 'location': 'BNW 127'}]",['M 0630pm-0900pm 01/19-05/03 BNW 127'],Joseph   Goldberg,5,6,-1
Spring2016,37080,ME 0342,A,3,Applications of Thermodynamics,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '01/21-05/03', 'location': 'BNW 469'}]",['MR 1100am-1215pm 01/21-05/03 BNW 469'],Shahrokh   Etemad,10,11,-1
Spring2016,38018,ME 0342,B,3,Applications of Thermodynamics,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '01/21-05/03', 'location': 'BNW 469'}]",['MR 0330pm-0445pm 01/21-05/03 BNW 469'],Shahrokh   Etemad,10,12,-2
Spring2016,37151,ME 0347,A,3,Fluid Mechanics,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '01/21-05/03', 'location': 'BNW 469'}]",['MR 0200pm-0315pm 01/21-05/03 BNW 469'],Shahrokh   Etemad,10,12,-2
Spring2016,38927,ME 0347,B,3,Fluid Mechanics,"[{'days': 'M', 'times': '0630pm-0900pm', 'dates': '01/19-05/03', 'location': 'SON 124'}]",['M 0630pm-0900pm 01/19-05/03 SON 124'],Clement   Anekwe,10,11,-1
Spring2016,37552,ME 0348L,A,1,Thermal and Fluids Lab,"[{'days': 'T', 'times': '0200pm-0400pm', 'dates': '01/19-05/03', 'location': 'BNW 128'}]",['T 0200pm-0400pm 01/19-05/03 BNW 128'],Ali F.  Elmozughi,12,12,0
Spring2016,38928,ME 0348L,B,1,Thermal and Fluids Lab,"[{'days': 'T', 'times': '0630pm-0830pm', 'dates': '01/19-05/03', 'location': 'BNW 128'}]",['T 0630pm-0830pm 01/19-05/03 BNW 128'],Ali F.  Elmozughi,12,12,0
Spring2016,38283,ME 0353,A,3,Computational Fluid Dynamics,"[{'days': 'T', 'times': '0630pm-0900pm', 'dates': '01/19-05/03', 'location': 'BNW 166'}]",['T 0630pm-0900pm 01/19-05/03 BNW 166'],Brendan S.  Mascarenhas,5,4,1
Spring2016,38284,ME 0372,A,3,Applications of Theory of Elasticity,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '01/19-05/03', 'location': 'BNW 129B'}]",['MR 1100am-1215pm 01/19-05/03 BNW 129B'],Sriharsha   Srinivas Sundarram,2,2,0
Spring2016,39125,ME 0410L,1,1,Product Manufacturing Lab,"[{'days': 'F', 'times': '0200pm-0400pm', 'dates': '01/19-05/13', 'location': 'BNW 136'}]",['F 0200pm-0400pm 01/19-05/13 BNW 136'],Sriharsha   Srinivas Sundarram,10,9,1
Spring2016,39126,ME 0424,1,3,Micro and Nano Manufacturing,"[{'days': 'R', 'times': '0630pm-0900pm', 'dates': '01/19-05/03', 'location': 'BNW GR22'}]",['R 0630pm-0900pm 01/19-05/03 BNW GR22'],Sriharsha   Srinivas Sundarram,20,19,1
Spring2016,38286,ME 0428,1,3,Computational Fluid Dynamics,"[{'days': 'T', 'times': '0630pm-0900pm', 'dates': '01/19-05/03', 'location': 'BNW 166'}]",['T 0630pm-0900pm 01/19-05/03 BNW 166'],Brendan S.  Mascarenhas,14,11,3
Spring2016,38929,ME 0444,1,3,Mechanics of Composite Materials,"[{'days': 'M', 'times': '0630pm-0900pm', 'dates': '01/19-05/03', 'location': 'BNW 127'}]",['M 0630pm-0900pm 01/19-05/03 BNW 127'],Joseph   Goldberg,20,18,2
Spring2016,38287,ME 0472,1,3,Applic of Theory of Elasticity,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '01/19-05/03', 'location': 'BNW 129B'}]",['MR 1100am-1215pm 01/19-05/03 BNW 129B'],Sriharsha   Srinivas Sundarram,13,14,-1
Spring2016,39228,ME 0551,AJ,3,Thesis II,[],[],Andrew   Judge,0,1,-1
Spring2016,39214,ME 0551,SS,3,Thesis II,[],[],Sriharsha   Srinivas Sundarram,0,1,-1
Spring2016,38591,MU 0065,A,2,Private Lessons: Cello,[],[],Caitlin E.  Hughes,0,0,0
Spring2016,38585,MU 0070,A,1,Private Lessons: Guitar,[],[],Caitlin E.  Hughes,0,4,-4
Spring2016,38586,MU 0071,A,2,Private Lessons: Guitar,[],[],Caitlin E.  Hughes,0,1,-1
Spring2016,39242,MU 0078,A,1,Private Lessons: Percussion,[],[],Caitlin E.  Hughes,0,1,-1
Spring2016,38584,MU 0079,A,2,Private Lessons: Percussion,[],[],Caitlin E.  Hughes,0,0,0
Spring2016,38587,MU 0080,A,1,Private Lessons: Piano,[],[],Caitlin E.  Hughes,0,3,-3
Spring2016,38588,MU 0081,A,2,Private Lessons: Piano,[],[],Caitlin E.  Hughes,0,5,-5
Spring2016,38583,MU 0085,A,2,Private Lessons: Saxophone,[],[],Caitlin E.  Hughes,0,1,-1
Spring2016,38657,MU 0089,A,2,Private Lessons: Violin,[],[],Caitlin E.  Hughes,0,1,-1
Spring2016,38589,MU 0092,A,1,Private Lessons: Voice,[],[],Caitlin E.  Hughes,0,0,0
Spring2016,38590,MU 0093,A,2,Private Lessons: Voice,[],[],Caitlin E.  Hughes,0,11,-11
Spring2016,37121,MU 0101,A,3,The History of Jazz,"[{'days': 'W', 'times': '0500pm-0730pm', 'dates': '01/19-05/03', 'location': 'JGS 25'}]",['W 0500pm-0730pm 01/19-05/03 JGS 25'],John   Fumasoli,23,24,-1
Spring2016,38373,MU 0103,A,3,History of Music: 400-1700,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '01/19-05/03', 'location': 'CNS 1'}]",['TF 1100am-1215pm 01/19-05/03 CNS 1'],Alan C.  Murchie,25,27,-2
Spring2016,37233,MU 0104,A,3,History of Music: 1700-1964,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '01/19-05/03', 'location': 'CNS 1'}]",['TF 1230pm-0145pm 01/19-05/03 CNS 1'],Alan C.  Murchie,25,26,-1
Spring2016,37980,MU 0104,B,3,History of Music: 1700-1964,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '01/19-05/03', 'location': 'BNW 335'}]",['MR 0200pm-0315pm 01/19-05/03 BNW 335'],Michael Anthony  Ciavaglia,25,26,-1
Spring2016,39057,MU 0104,C,3,History of Music: 1700-1964,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '01/19-05/03', 'location': 'CNS 209'}]",['TF 0930am-1045am 01/19-05/03 CNS 209'],Laura   Nash,25,21,4
Spring2016,37797,MU 0113,A,3,Introduction to Piano and the Elements of Music,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '01/19-05/03', 'location': 'JGS LAB-A'}]",['TF 1100am-1215pm 01/19-05/03 JGS LAB-A'],Michael Andrew  Cooney,12,11,1
Spring2016,39058,MU 0113,B,3,Introduction to Piano and the Elements of Music,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '01/19-05/03', 'location': 'JGS LAB-A'}]",['TF 1230pm-0145pm 01/19-05/03 JGS LAB-A'],Michael Andrew  Cooney,10,11,-1
Spring2016,39059,MU 0122,A,3,World Music History and Ensemble,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '01/19-05/03', 'location': 'JGS 25'}]",['MR 0930am-1045am 01/19-05/03 JGS 25'],Brian Q.  Torff,25,22,3
Spring2016,39060,MU 0122,B,3,World Music History and Ensemble,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '01/19-05/03', 'location': 'JGS 25'}]",['MR 0200pm-0315pm 01/19-05/03 JGS 25'],Brian Q.  Torff,25,23,2
Spring2016,39061,MU 0243,A,3,19th Century Romanticism in Music,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '01/19-05/03', 'location': 'BNW 335'}]",['MR 1230pm-0145pm 01/19-05/03 BNW 335'],Michael Anthony  Ciavaglia,25,23,2
Spring2016,37135,MU 0250,A,3,Music Theory & Composition II,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '01/19-05/03', 'location': 'CNS 209'}]",['TF 1100am-1215pm 01/19-05/03 CNS 209'],Laura   Nash,15,5,10
Spring2016,37189,MU 0255,A,1,University Symphony Orchestra,"[{'days': 'MW', 'times': '0730pm-0900pm', 'dates': '01/19-05/03', 'location': 'GNZ AUDI'}]",['MW 0730pm-0900pm 01/19-05/03 GNZ AUDI'],Jonathan G.  Grauer,100,11,89
Spring2016,37099,MU 0256,A,1,Jazz Ensemble,"[{'days': 'T', 'times': '0500pm-0630pm', 'dates': '01/19-05/03', 'location': 'JGS 25'}]",['T 0500pm-0630pm 01/19-05/03 JGS 25'],Brian Q.  Torff,25,9,16
Spring2016,39288,MU 0305,A,1,Internship,[],[],Laura   Nash,0,1,-1
Spring2016,37349,MU 0311,A,3,Senior Capstone Project II,[],[],Laura   Nash,0,5,-5
Spring2016,39062,MU 0360,A,3,Elem General Music Methods,[],[],Laura   Nash,25,0,25
Spring2016,37293,NS 0110,A,3,Introduction to Professional Nursing,"[{'days': 'MR', 'times': '0800am-0915am', 'dates': '01/19-05/03', 'location': 'SON 203'}]",['MR 0800am-0915am 01/19-05/03 SON 203'],Katherine Marie  Saracino,40,49,-9
Spring2016,38206,NS 0110,B,3,Introduction to Professional Nursing,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '01/19-05/03', 'location': 'BNW GR22'}]",['MR 1100am-1215pm 01/19-05/03 BNW GR22'],Katherine Marie  Saracino,40,18,22
Spring2016,37294,NS 0112,A,3,Healthcare Delivery Systems,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '01/19-05/03', 'location': 'SON 203'}]",['MR 0200pm-0315pm 01/19-05/03 SON 203'],Jessica   Planas,40,44,-4
Spring2016,37396,NS 0252,A,3,Health Assessment for Registered Nurses,"[{'days': 'R', 'times': '0500pm-0730pm', 'dates': '01/19-05/03', 'location': 'SON 203'}]",['R 0500pm-0730pm 01/19-05/03 SON 203'],Mary M  Murphy,20,9,11
